v1.0,20230105,hf
id,name,color
1,石墙,353535
2,土墙（天然）,573C30
3,黑檀石墙（天然）,2F2935
4,木墙,453225
5,灰砖墙,3B3B3B
6,红砖墙,4C2C29
7,蓝砖墙（天然）,2E3243
8,绿砖墙（天然）,313D3D
9,粉砖墙（天然）,4B2E46
10,金砖墙,6B5B22
11,银砖墙,4F5556
12,铜砖墙,653919
13,狱石砖墙（天然）,4D302B
14,黑曜石砖墙（天然）,0C0C0C
15,泥墙（天然）,312B2C
16,土墙,513F36
17,蓝砖墙,2E3243
18,绿砖墙,313D3D
19,粉砖墙,4B2E46
20,黑曜石砖墙,0C0C0C
21,玻璃墙,365962
22,珍珠石砖墙,615C5E
23,荧光砖墙,382C3A
24,泥石砖墙,31282A
25,钴砖墙,124262
26,秘银砖墙,224036
27,板条墙,3A302A
28,珍珠石墙（天然）,4D4651
29,糖棒墙,703A44
30,绿糖棒墙,387350
31,雪砖墙,5E656C
32,精金梁墙,661430
33,魔矿砖墙,303049
34,沙岩砖墙,565339
35,黑檀石砖墙,363B52
36,红泥灰墙,7C463F
37,黄泥灰墙,595437
38,绿泥灰墙,3C5A46
39,灰泥灰墙,595954
40,雪墙（天然）,647681
41,乌木墙,393740
42,红木墙,3E191B
43,珍珠木墙,3C372C
44,彩虹砖墙,333333
45,锡砖墙,413F39
46,钨砖墙,445345
47,铂金砖墙,424652
48,紫晶墙（天然）,4E4553
49,黄玉墙（天然）,514A3F
50,蓝玉墙（天然）,384251
51,翡翠墙（天然）,32493B
52,红玉墙（天然）,523B40
53,钻石墙（天然）,464F51
54,洞壁（天然）,2E3A36
55,洞壁（天然）,38382E
56,洞壁（天然）,393131
57,洞壁（天然）,2D3338
58,洞壁（天然）,38303B
59,洞壁（天然）,503F37
60,生命树叶墙（天然）,003111
61,洞壁（天然）,37281C
62,蜘蛛墙（天然）,201C16
63,草墙（天然）,194326
64,丛林墙（天然）,2F4319
65,花墙（天然）,194326
66,草墙,194326
67,丛林墙,2F4319
68,花墙,194326
69,腐化草墙（天然）,242539
70,神圣草墙（天然）,193D43
71,冰雪墙（天然）,526C86
72,仙人掌墙,2D5418
73,云墙,D3D9DB
74,蘑菇墙,363C71
75,骨块墙,3D3D2C
76,史莱姆块墙,1A336F
77,血肉块墙,4B1216
78,生命木墙,3A2318
79,黑曜石背景墙（天然）,242141
80,蘑菇墙（天然）,363C71
